"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2021 to Mar 2022 (Period 12)","Southeastern","42509","908","1823","2277.0","5.36","2.18"
"Apr 2021 to Mar 2022 (Period 13)","Southeastern","39875","705","535","887.5","2.23","2.24"
"Apr 2022 to Mar 2023 (Period 01)","Southeastern","45710","547","346","619.5","1.36","2.24"
"Apr 2022 to Mar 2023 (Period 02)","Southeastern","43106","821","285","695.5","1.61","2.26"
"Apr 2022 to Mar 2023 (Period 03)","Southeastern","38040","837","401","819.5","2.15","2.28"
"Apr 2022 to Mar 2023 (Period 04)","Southeastern","42737","791","842","1237.5","2.90","2.38"
"Apr 2022 to Mar 2023 (Period 05)","Southeastern","35334","904","586","1038.0","2.94","2.45"
"Apr 2022 to Mar 2023 (Period 06)","Southeastern","41658","820","394","804.0","1.93","2.44"
"Apr 2022 to Mar 2023 (Period 07)","Southeastern","38860","463","248","479.5","1.23","2.38"
"Apr 2022 to Mar 2023 (Period 08)","Southeastern","41008","1028","655","1169.0","2.85","2.38"
"Apr 2022 to Mar 2023 (Period 09)","Southeastern","41159","1076","584","1122.0","2.73","2.40"
"Apr 2022 to Mar 2023 (Period 10)","Southeastern","24073","1172","2351","2937.0","12.20","2.87"
"Apr 2022 to Mar 2023 (Period 11)","Southeastern","39047","961","610","1090.5","2.79","2.96"
"Apr 2022 to Mar 2023 (Period 12)","Southeastern","42497","1063","611","1142.5","2.69","2.74"
"Apr 2022 to Mar 2023 (Period 13)","Southeastern","38737","990","526","1021.0","2.64","2.77"
"Apr 2023 to Mar 2024 (Period 01)","Southeastern","42939","526","216","479.0","1.12","2.76"
"Apr 2023 to Mar 2024 (Period 02)","Southeastern","39978","730","268","633.0","1.58","2.76"
"Apr 2023 to Mar 2024 (Period 03)","Southeastern","38426","937","450","918.5","2.39","2.78"
"Apr 2023 to Mar 2024 (Period 04)","Southeastern","40746","783","377","768.5","1.89","2.70"
"Apr 2023 to Mar 2024 (Period 05)","Southeastern","42017","651","422","747.5","1.78","2.60"
"Apr 2023 to Mar 2024 (Period 06)","Southeastern","38776","648","303","627.0","1.62","2.58"
"Apr 2023 to Mar 2024 (Period 07)","Southeastern","40489","786","449","842.0","2.08","2.65"
"Apr 2023 to Mar 2024 (Period 08)","Southeastern","43535","710","644","999.0","2.29","2.60"
"Apr 2023 to Mar 2024 (Period 09)","Southeastern","41457","767","473","856.5","2.07","2.55"
"Apr 2023 to Mar 2024 (Period 10)","Southeastern","38307","1117","1176","1734.5","4.53","2.25"
"Apr 2023 to Mar 2024 (Period 11)","Southeastern","41961","998","375","874.0","2.08","2.20"
"Apr 2023 to Mar 2024 (Period 12)","Southeastern","43465","922","722","1183.0","2.72","2.20"
"Apr 2023 to Mar 2024 (Period 13)","Southeastern","43753","722","297","658.0","1.50","2.11"
"Apr 2024 to Mar 2025 (Period 01)","Southeastern","40981","603","283","584.5","1.43","2.14"
"Apr 2024 to Mar 2025 (Period 02)","Southeastern","41967","507","337","590.5","1.41","2.12"
"Apr 2024 to Mar 2025 (Period 03)","Southeastern","43617","699","432","781.5","1.79","2.08"
"Apr 2024 to Mar 2025 (Period 04)","Southeastern","42977","979","566","1055.5","2.46","2.12"
"Apr 2024 to Mar 2025 (Period 05)","Southeastern","43585","987","486","979.5","2.25","2.16"
"Apr 2024 to Mar 2025 (Period 06)","Southeastern","43536","928","558","1022.0","2.35","2.21"
"Apr 2024 to Mar 2025 (Period 07)","Southeastern","43880","1041","616","1136.5","2.59","2.25"
"Apr 2024 to Mar 2025 (Period 08)","Southeastern","43314","1126","558","1121.0","2.59","2.28"
"Apr 2024 to Mar 2025 (Period 09)","Southeastern","43692","1517","890","1648.5","3.77","2.41"
"Apr 2024 to Mar 2025 (Period 10)","Southeastern","37764","1050","944","1469.0","3.89","2.36"
"Apr 2024 to Mar 2025 (Period 11)","Southeastern","44014","1102","551","1102.0","2.50","2.40"
"Apr 2024 to Mar 2025 (Period 12)","Southeastern","44539","943","448","919.5","2.06","2.34"
"Apr 2024 to Mar 2025 (Period 13)","Southeastern","47360","1197","520","1118.5","2.36","2.41"
"Apr 2025 to Mar 2026 (Period 01)","Southeastern","40315","626","310","623.0","1.55","2.42"
"Apr 2025 to Mar 2026 (Period 02)","Southeastern","44264","1236","589","1207.0","2.73","2.52"
"Apr 2025 to Mar 2026 (Period 03)","Southeastern","44227","715","476","833.5","1.88","2.53"
"Apr 2025 to Mar 2026 (Period 04)","Southeastern","44685","1036","751","1269.0","2.84","2.56"
"Apr 2025 to Mar 2026 (Period 05)","Southeastern","45033","952","579","1055.0","2.34","2.56"
"Apr 2025 to Mar 2026 (Period 06)","Southeastern","43857","795","631","1028.5","2.35","2.56"
"Apr 2025 to Mar 2026 (Period 07)","Southeastern","44600","930","542","1007.0","2.26","2.54"
"Apr 2025 to Mar 2026 (Period 08)","Southeastern","44769","715","469","826.5","1.85","2.48"
"Apr 2025 to Mar 2026 (Period 09)","Southeastern","44296","853","458","884.5","2.00","2.34"
"Apr 2025 to Mar 2026 (Period 10)","Southeastern","36500","684","414","756.0","2.07","2.22"
"Apr 2025 to Mar 2026 (Period 11)","Southeastern","44778","866","356","789.0","1.76","2.16"
"Apr 2019 to Mar 2020 (Period 01)","TfW Rail","24883","471","289","524.5","2.11","[z]"
"Apr 2019 to Mar 2020 (Period 02)","TfW Rail","25680","294","134","281.0","1.09","[z]"
"Apr 2019 to Mar 2020 (Period 03)","TfW Rail","26564","341","244","414.5","1.56","[z]"
"Apr 2019 to Mar 2020 (Period 04)","TfW Rail","26488","590","350","645.0","2.44","[z]"
"Apr 2019 to Mar 2020 (Period 05)","TfW Rail","26312","632","395","711.0","2.70","[z]"
"Apr 2019 to Mar 2020 (Period 06)","TfW Rail","26506","547","321","594.5","2.24","[z]"
"Apr 2019 to Mar 2020 (Period 07)","TfW Rail","26413","636","422","740.0","2.80","[z]"
"Apr 2019 to Mar 2020 (Period 08)","TfW Rail","26315","823","683","1094.5","4.16","[z]"
"Apr 2019 to Mar 2020 (Period 09)","TfW Rail","26027","821","390","800.5","3.08","[z]"
"Apr 2019 to Mar 2020 (Period 10)","TfW Rail","23272","633","462","778.5","3.35","[z]"
"Apr 2019 to Mar 2020 (Period 11)","TfW Rail","27080","649","230","554.5","2.05","[z]"
"Apr 2019 to Mar 2020 (Period 12)","TfW Rail","26525","969","1088","1572.5","5.93","[z]"
"Apr 2019 to Mar 2020 (Period 13)","TfW Rail","26206","524","424","686.0","2.62","2.78"
"Apr 2020 to Mar 2021 (Period 01)","TfW Rail","15602","69","63","97.5","0.62","2.73"
"Apr 2020 to Mar 2021 (Period 02)","TfW Rail","13258","115","102","159.5","1.20","2.80"
"Apr 2020 to Mar 2021 (Period 03)","TfW Rail","14234","89","58","102.5","0.72","2.81"
"Apr 2020 to Mar 2021 (Period 04)","TfW Rail","17704","122","89","150.0","0.85","2.72"
"Apr 2020 to Mar 2021 (Period 05)","TfW Rail","18973","232","195","311.0","1.64","2.65"
"Apr 2020 to Mar 2021 (Period 06)","TfW Rail","18812","364","268","450.0","2.39","2.67"
"Apr 2020 to Mar 2021 (Period 07)","TfW Rail","19203","224","184","296.0","1.54","2.58"
"Apr 2020 to Mar 2021 (Period 08)","TfW Rail","18224","231","242","357.5","1.96","2.38"
"Apr 2020 to Mar 2021 (Period 09)","TfW Rail","19296","209","204","308.5","1.60","2.25"
"Apr 2020 to Mar 2021 (Period 10)","TfW Rail","16509","333","511","677.5","4.10","2.27"
"Apr 2020 to Mar 2021 (Period 11)","TfW Rail","16675","305","350","502.5","3.01","2.35"
"Apr 2020 to Mar 2021 (Period 12)","TfW Rail","15108","177","176","264.5","1.75","1.90"
"Apr 2020 to Mar 2021 (Period 13)","TfW Rail","14735","234","94","211.0","1.43","1.78"
"Apr 2021 to Mar 2022 (Period 01)","TfW Rail","21548","265","201","333.5","1.55","1.84"
"Apr 2021 to Mar 2022 (Period 02)","TfW Rail","19490","422","225","436.0","2.24","1.91"
"Apr 2021 to Mar 2022 (Period 03)","TfW Rail","19324","364","256","438.0","2.27","2.01"
"Apr 2021 to Mar 2022 (Period 04)","TfW Rail","18845","352","295","471.0","2.50","2.14"
"Apr 2021 to Mar 2022 (Period 05)","TfW Rail","18465","337","232","400.5","2.17","2.18"
"Apr 2021 to Mar 2022 (Period 06)","TfW Rail","19245","458","236","465.0","2.42","2.18"
"Apr 2021 to Mar 2022 (Period 07)","TfW Rail","22292","475","451","688.5","3.09","2.32"
"Apr 2021 to Mar 2022 (Period 08)","TfW Rail","21810","774","795","1182.0","5.42","2.62"
"Apr 2021 to Mar 2022 (Period 09)","TfW Rail","21236","913","1814","2270.5","10.69","3.40"
"Apr 2021 to Mar 2022 (Period 10)","TfW Rail","18877","615","1125","1432.5","7.59","3.67"
"Apr 2021 to Mar 2022 (Period 11)","TfW Rail","19752","358","244","423.0","2.14","3.60"
"Apr 2021 to Mar 2022 (Period 12)","TfW Rail","19398","625","769","1081.5","5.58","3.86"
"Apr 2021 to Mar 2022 (Period 13)","TfW Rail","19161","592","406","702.0","3.66","3.98"
"Apr 2022 to Mar 2023 (Period 01)","TfW Rail","23773","494","393","640.0","2.69","4.06"
"Apr 2022 to Mar 2023 (Period 02)","TfW Rail","23737","566","357","640.0","2.70","4.07"
"Apr 2022 to Mar 2023 (Period 03)","TfW Rail","22483","517","566","824.5","3.67","4.17"
"Apr 2022 to Mar 2023 (Period 04)","TfW Rail","25384","789","706","1100.5","4.34","4.30"
"Apr 2022 to Mar 2023 (Period 05)","TfW Rail","22741","651","572","897.5","3.95","4.41"
"Apr 2022 to Mar 2023 (Period 06)","TfW Rail","25876","614","526","833.0","3.22","4.44"
"Apr 2022 to Mar 2023 (Period 07)","TfW Rail","23882","655","570","897.5","3.76","4.49"
"Apr 2022 to Mar 2023 (Period 08)","TfW Rail","24790","875","666","1103.5","4.45","4.41"
"Apr 2022 to Mar 2023 (Period 09)","TfW Rail","25447","1022","802","1313.0","5.16","4.03"
"Apr 2022 to Mar 2023 (Period 10)","TfW Rail","15838","531","943","1208.5","7.63","3.99"
"Apr 2022 to Mar 2023 (Period 11)","TfW Rail","26464","984","941","1433.0","5.41","4.24"
"Apr 2022 to Mar 2023 (Period 12)","TfW Rail","25765","883","867","1308.5","5.08","4.23"
"Apr 2022 to Mar 2023 (Period 13)","TfW Rail","22502","731","1193","1558.5","6.93","4.46"
"Apr 2023 to Mar 2024 (Period 01)","TfW Rail","22725","1018","1209","1718.0","7.56","4.82"
"Apr 2023 to Mar 2024 (Period 02)","TfW Rail","22460","781","818","1208.5","5.38","5.03"
"Apr 2023 to Mar 2024 (Period 03)","TfW Rail","21185","1007","1420","1923.5","9.08","5.41"
"Apr 2023 to Mar 2024 (Period 04)","TfW Rail","24650","836","971","1389.0","5.63","5.52"
"Apr 2023 to Mar 2024 (Period 05)","TfW Rail","25018","857","688","1116.5","4.46","5.55"
"Apr 2023 to Mar 2024 (Period 06)","TfW Rail","24779","747","552","925.5","3.74","5.60"
"Apr 2023 to Mar 2024 (Period 07)","TfW Rail","25333","1096","567","1115.0","4.40","5.64"
"Apr 2023 to Mar 2024 (Period 08)","TfW Rail","23818","1064","678","1210.0","5.08","5.70"
"Apr 2023 to Mar 2024 (Period 09)","TfW Rail","23347","1203","950","1551.5","6.65","5.81"
"Apr 2023 to Mar 2024 (Period 10)","TfW Rail","22958","884","853","1295.0","5.64","5.71"
"Apr 2023 to Mar 2024 (Period 11)","TfW Rail","25646","690","475","820.0","3.20","5.53"
"Apr 2023 to Mar 2024 (Period 12)","TfW Rail","25823","743","623","994.5","3.85","5.42"
"Apr 2023 to Mar 2024 (Period 13)","TfW Rail","27095","536","392","660.0","2.44","5.06"
"Apr 2024 to Mar 2025 (Period 01)","TfW Rail","26994","743","573","944.5","3.50","4.75"
"Apr 2024 to Mar 2025 (Period 02)","TfW Rail","27911","852","476","902.0","3.23","4.57"
"Apr 2024 to Mar 2025 (Period 03)","TfW Rail","27950","1008","985","1489.0","5.33","4.35"
"Apr 2024 to Mar 2025 (Period 04)","TfW Rail","28142","1128","926","1490.0","5.29","4.33"
"Apr 2024 to Mar 2025 (Period 05)","TfW Rail","28289","1012","836","1342.0","4.74","4.36"
"Apr 2024 to Mar 2025 (Period 06)","TfW Rail","27955","1139","1077","1646.5","5.89","4.53"
"Apr 2024 to Mar 2025 (Period 07)","TfW Rail","27284","1140","688","1258.0","4.61","4.55"
"Apr 2024 to Mar 2025 (Period 08)","TfW Rail","26118","1227","1040","1653.5","6.33","4.64"
"Apr 2024 to Mar 2025 (Period 09)","TfW Rail","27443","1452","2084","2810.0","10.24","4.95"
"Apr 2024 to Mar 2025 (Period 10)","TfW Rail","24259","1122","1234","1795.0","7.40","5.07"
"Apr 2024 to Mar 2025 (Period 11)","TfW Rail","27005","1250","874","1499.0","5.55","5.25"
"Apr 2024 to Mar 2025 (Period 12)","TfW Rail","26672","865","576","1008.5","3.78","5.24"
"Apr 2024 to Mar 2025 (Period 13)","TfW Rail","28388","994","612","1109.0","3.91","5.35"
"Apr 2025 to Mar 2026 (Period 01)","TfW Rail","23296","807","612","1015.5","4.36","5.42"
"Apr 2025 to Mar 2026 (Period 02)","TfW Rail","25630","932","553","1019.0","3.98","5.49"
"Apr 2025 to Mar 2026 (Period 03)","TfW Rail","26893","883","587","1028.5","3.82","5.38"
"Apr 2025 to Mar 2026 (Period 04)","TfW Rail","28011","999","1080","1579.5","5.64","5.40"
"Apr 2025 to Mar 2026 (Period 05)","TfW Rail","27895","718","638","997.0","3.57","5.31"
"Apr 2025 to Mar 2026 (Period 06)","TfW Rail","27127","502","465","716.0","2.64","5.05"
"Apr 2025 to Mar 2026 (Period 07)","TfW Rail","27972","905","645","1097.5","3.92","5.00"
"Apr 2025 to Mar 2026 (Period 08)","TfW Rail","28103","770","444","829.0","2.95","4.73"
"Apr 2025 to Mar 2026 (Period 09)","TfW Rail","26993","942","773","1244.0","4.61","4.29"
"Apr 2025 to Mar 2026 (Period 10)","TfW Rail","25628","823","722","1133.5","4.42","4.08"
"Apr 2025 to Mar 2026 (Period 11)","TfW Rail","27903","681","877","1217.5","4.36","3.99"
"Apr 2019 to Mar 2020 (Period 01)","TransPennine Express","8795","273","63","199.5","2.27","[z]"
"Apr 2019 to Mar 2020 (Period 02)","TransPennine Express","9090","401","140","340.5","3.75","[z]"
"Apr 2019 to Mar 2020 (Period 03)","TransPennine Express","9063","358","248","427.0","4.71","[z]"
"Apr 2019 to Mar 2020 (Period 04)","TransPennine Express","9123","286","157","300.0","3.29","[z]"
"Apr 2019 to Mar 2020 (Period 05)","TransPennine Express","9059","716","407","765.0","8.44","[z]"
"Apr 2019 to Mar 2020 (Period 06)","TransPennine Express","9095","514","454","711.0","7.82","[z]"
"Apr 2019 to Mar 2020 (Period 07)","TransPennine Express","9086","443","230","451.5","4.97","[z]"
"Apr 2019 to Mar 2020 (Period 08)","TransPennine Express","9097","588","506","800.0","8.79","[z]"
"Apr 2019 to Mar 2020 (Period 09)","TransPennine Express","9044","882","819","1260.0","13.93","[z]"
"Apr 2019 to Mar 2020 (Period 10)","TransPennine Express","8430","730","1360","1725.0","20.46","[z]"
"Apr 2019 to Mar 2020 (Period 11)","TransPennine Express","8816","465","279","511.5","5.80","[z]"
"Apr 2019 to Mar 2020 (Period 12)","TransPennine Express","9491","791","588","983.5","10.36","[z]"
"Apr 2019 to Mar 2020 (Period 13)","TransPennine Express","8532","389","459","653.5","7.66","7.82"
"Apr 2020 to Mar 2021 (Period 01)","TransPennine Express","3858","31","38","53.5","1.39","8.04"
"Apr 2020 to Mar 2021 (Period 02)","TransPennine Express","4826","99","59","108.5","2.25","8.14"
"Apr 2020 to Mar 2021 (Period 03)","TransPennine Express","6577","81","53","93.5","1.42","8.01"
"Apr 2020 to Mar 2021 (Period 04)","TransPennine Express","6818","97","62","110.5","1.62","8.01"
"Apr 2020 to Mar 2021 (Period 05)","TransPennine Express","7072","111","77","132.5","1.87","7.54"
"Apr 2020 to Mar 2021 (Period 06)","TransPennine Express","7102","96","44","92.0","1.30","7.06"
"Apr 2020 to Mar 2021 (Period 07)","TransPennine Express","7144","139","77","146.5","2.05","6.89"
"Apr 2020 to Mar 2021 (Period 08)","TransPennine Express","7124","88","69","113.0","1.59","6.31"
"Apr 2020 to Mar 2021 (Period 09)","TransPennine Express","7148","138","101","170.0","2.38","5.27"
"Apr 2020 to Mar 2021 (Period 10)","TransPennine Express","6790","180","125","215.0","3.17","3.71"
"Apr 2020 to Mar 2021 (Period 11)","TransPennine Express","6641","220","208","318.0","4.79","3.58"
"Apr 2020 to Mar 2021 (Period 12)","TransPennine Express","4414","110","65","120.0","2.72","2.77"
"Apr 2020 to Mar 2021 (Period 13)","TransPennine Express","4397","97","23","71.5","1.63","2.18"
"Apr 2021 to Mar 2022 (Period 01)","TransPennine Express","8455","108","47","101.0","1.19","2.12"
"Apr 2021 to Mar 2022 (Period 02)","TransPennine Express","7534","116","77","135.0","1.79","2.09"
"Apr 2021 to Mar 2022 (Period 03)","TransPennine Express","7586","99","63","112.5","1.48","2.08"
"Apr 2021 to Mar 2022 (Period 04)","TransPennine Express","7677","143","77","148.5","1.93","2.11"
"Apr 2021 to Mar 2022 (Period 05)","TransPennine Express","7596","106","65","118.0","1.55","2.08"
"Apr 2021 to Mar 2022 (Period 06)","TransPennine Express","7690","137","106","174.5","2.27","2.15"
"Apr 2021 to Mar 2022 (Period 07)","TransPennine Express","7642","98","40","89.0","1.16","2.08"
"Apr 2021 to Mar 2022 (Period 08)","TransPennine Express","7689","203","69","170.5","2.22","2.13"
"Apr 2021 to Mar 2022 (Period 09)","TransPennine Express","7656","249","188","312.5","4.08","2.27"
"Apr 2021 to Mar 2022 (Period 10)","TransPennine Express","6832","300","376","526.0","7.70","2.61"
"Apr 2021 to Mar 2022 (Period 11)","TransPennine Express","7274","170","181","266.0","3.66","2.54"
"Apr 2021 to Mar 2022 (Period 12)","TransPennine Express","6518","206","268","371.0","5.69","2.75"
"Apr 2021 to Mar 2022 (Period 13)","TransPennine Express","5883","153","255","331.5","5.63","2.97"
"Apr 2022 to Mar 2023 (Period 01)","TransPennine Express","6486","161","215","295.5","4.56","3.24"
"Apr 2022 to Mar 2023 (Period 02)","TransPennine Express","6501","166","210","293.0","4.51","3.45"
"Apr 2022 to Mar 2023 (Period 03)","TransPennine Express","5556","167","227","310.5","5.59","3.74"
"Apr 2022 to Mar 2023 (Period 04)","TransPennine Express","6748","233","431","547.5","8.11","4.23"
"Apr 2022 to Mar 2023 (Period 05)","TransPennine Express","5827","231","249","364.5","6.26","4.59"
"Apr 2022 to Mar 2023 (Period 06)","TransPennine Express","7092","247","226","349.5","4.93","4.82"
"Apr 2022 to Mar 2023 (Period 07)","TransPennine Express","5931","207","270","373.5","6.30","5.25"
"Apr 2022 to Mar 2023 (Period 08)","TransPennine Express","5877","229","348","462.5","7.87","5.71"
"Apr 2022 to Mar 2023 (Period 09)","TransPennine Express","6527","246","284","407.0","6.24","5.90"
"Apr 2022 to Mar 2023 (Period 10)","TransPennine Express","3491","145","336","408.5","11.70","6.00"
"Apr 2022 to Mar 2023 (Period 11)","TransPennine Express","6463","245","449","571.5","8.84","6.45"
"Apr 2022 to Mar 2023 (Period 12)","TransPennine Express","6643","197","377","475.5","7.16","6.57"
"Apr 2022 to Mar 2023 (Period 13)","TransPennine Express","6041","195","246","343.5","5.69","6.57"
"Apr 2023 to Mar 2024 (Period 01)","TransPennine Express","7732","220","244","354.0","4.58","6.54"
"Apr 2023 to Mar 2024 (Period 02)","TransPennine Express","7014","295","273","420.5","6.00","6.66"
"Apr 2023 to Mar 2024 (Period 03)","TransPennine Express","6365","207","269","372.5","5.85","6.67"
"Apr 2023 to Mar 2024 (Period 04)","TransPennine Express","7672","304","234","386.0","5.03","6.40"
"Apr 2023 to Mar 2024 (Period 05)","TransPennine Express","7337","331","301","466.5","6.36","6.40"
"Apr 2023 to Mar 2024 (Period 06)","TransPennine Express","7414","192","157","253.0","3.41","6.27"
"Apr 2023 to Mar 2024 (Period 07)","TransPennine Express","7329","213","259","365.5","4.99","6.15"
"Apr 2023 to Mar 2024 (Period 08)","TransPennine Express","8138","340","363","533.0","6.55","6.08"
"Apr 2023 to Mar 2024 (Period 09)","TransPennine Express","7863","358","317","496.0","6.31","6.08"
"Apr 2023 to Mar 2024 (Period 10)","TransPennine Express","7382","281","245","385.5","5.22","5.81"
"Apr 2023 to Mar 2024 (Period 11)","TransPennine Express","7633","330","163","328.0","4.30","5.48"
"Apr 2023 to Mar 2024 (Period 12)","TransPennine Express","8020","144","101","173.0","2.16","5.08"
